zHD MU_SH0ES
3.085999999999999854e-02 3.541640000000000299e+01
3.090999999999999998e-02 3.549260000000000304e+01
3.096000000000000141e-02 3.564809999999999945e+01
3.107999999999999999e-02 3.592240000000000322e+01
3.107999999999999999e-02 3.540599999999999881e+01
3.109999999999999917e-02 3.556499999999999773e+01
3.114000000000000101e-02 3.567000000000000171e+01
3.116000000000000020e-02 3.558769999999999811e+01
3.116999999999999979e-02 3.553040000000000020e+01
3.117999999999999938e-02 3.566749999999999687e+01
3.119999999999999857e-02 3.549569999999999936e+01
3.121000000000000163e-02 3.577199999999999847e+01
3.132000000000000062e-02 3.562310000000000088e+01
3.142999999999999960e-02 3.564609999999999701e+01
3.142999999999999960e-02 3.556020000000000181e+01
3.146999999999999797e-02 3.591190000000000282e+01
3.148000000000000104e-02 3.570170000000000243e+01
3.148000000000000104e-02 3.570700000000000074e+01
3.162000000000000227e-02 3.564739999999999753e+01
3.166000000000000064e-02 3.572789999999999822e+01
3.191999999999999699e-02 3.545920000000000272e+01
3.200999999999999679e-02 3.548960000000000292e+01
3.235999999999999988e-02 3.567459999999999809e+01
3.255000000000000254e-02 3.557600000000000051e+01
3.259999999999999704e-02 3.585620000000000118e+01
3.264000000000000234e-02 3.588080000000000069e+01
3.264000000000000234e-02 3.590820000000000078e+01
3.271999999999999909e-02 3.566380000000000194e+01
3.282000000000000195e-02 3.563289999999999935e+01
3.289000000000000257e-02 3.583809999999999718e+01
3.289999999999999869e-02 3.572480000000000189e+01
3.293999999999999706e-02 3.579919999999999902e+01
3.296000000000000318e-02 3.573239999999999839e+01
3.298000000000000237e-02 3.561639999999999873e+01
3.332999999999999852e-02 3.566429999999999723e+01
3.334999999999999770e-02 3.581589999999999918e+01
3.341000000000000220e-02 3.586469999999999914e+01
3.370999999999999691e-02 3.577969999999999828e+01
3.373000000000000304e-02 3.582900000000000063e+01
3.375000000000000222e-02 3.602289999999999992e+01
3.377999999999999753e-02 3.582759999999999678e+01
3.393000000000000183e-02 3.590890000000000271e+01
3.402999999999999775e-02 3.575869999999999749e+01
3.427999999999999797e-02 3.591879999999999740e+01
3.436999999999999778e-02 3.578370000000000317e+01
3.441000000000000308e-02 3.582500000000000284e+01
3.450999999999999901e-02 3.597570000000000334e+01
3.459000000000000269e-02 3.573479999999999990e+01
3.479000000000000148e-02 3.585660000000000025e+01
3.490999999999999659e-02 3.591179999999999950e+01
3.511999999999999844e-02 3.588159999999999883e+01
3.515000000000000069e-02 3.589370000000000260e+01
3.515999999999999681e-02 3.580120000000000147e+01
3.522000000000000131e-02 3.583489999999999753e+01
3.529000000000000192e-02 3.586099999999999710e+01
3.550999999999999990e-02 3.599049999999999727e+01
3.568000000000000338e-02 3.623400000000000176e+01
3.576000000000000012e-02 3.595909999999999940e+01
3.576000000000000012e-02 3.615449999999999875e+01
3.583000000000000074e-02 3.593249999999999744e+01
3.584999999999999992e-02 3.555149999999999721e+01
3.599000000000000116e-02 3.599090000000000344e+01
