-17.27555182040796	-1002.7078370873792
-33.93108127151287	-893.6897924616595
-67.03036319598478	-782.3971346126403
-108.85650103314126	-679.7996835391596
-119.03963119909523	-566.017114947016
-152.57813617065702	-470.3266905738276
-168.3596823256132	-368.1156654120217
-192.29006665386416	-256.9517167469361
-230.1023379050827	-159.29253481505864
-241.3910635541714	-43.72120574269796
-276.1575909948638	65.01021453754284
-281.34789965574043	168.95351101145178
-313.9486965543603	275.8212675439794
-316.2745808376602	381.13252941219673
-331.61238708285106	477.5337335401522
-361.95399235142145	587.961534188232
-369.2267302822045	686.4833007412661
-376.75167037413263	790.4052300224432
-391.292232495271	888.619607919001
-393.4291901132456	1010.5665508990062
-415.9683563410275	1106.4458543778892
-426.46938351495834	1206.124951716723
-434.9592108155332	1319.650234292883
-440.403608791081	1419.6766188631007
-441.64522692899413	1527.0734480539193
-448.79246365960324	1640.3175832919978
-453.4618427865906	1737.7833385309575
-442.2935643109026	1838.4557192238965
-441.5386829807422	1946.037942005269
-440.6112507978305	2046.289617820741
-448.3153665377552	2160.941260801737
-444.2007784331297	2268.1032364874754
-432.6797539893064	2377.4427731299697
-434.37641785108303	2469.8271451255746
-435.26399316064914	2571.973162578246
-432.40847724052253	2682.429749261882
-421.83888188212944	2785.0157579210095
-409.0219142384279	2886.6020247947586
-403.9458604891754	2998.392730921674
-384.8077721399671	3096.01850477617
-378.1854240911633	3213.0257550840543
-358.0968480741435	3314.888732141468
-348.2020691950563	3409.5768644882032
-335.7139876876426	3516.291145016193
-312.61615019710695	3621.752581206956
-309.7161247939009	3729.538080281888
-284.6354855475596	3832.300968103144
-264.0179643961486	3939.165667769949
-254.24106003413115	4050.942852025794
-226.78875819736905	4147.239182304152
-207.6642930770234	4267.677871503261
-174.28422734883654	4358.79757497625
-157.82200409620484	4466.724323418519
-122.99610303492587	4577.977461973632
-100.77065975761948	4686.953851104463
-62.742330058397854	4789.312550676671
-36.2166991487315	4879.9459413591985
-11.611872840117755	4985.065986838233
